"Hnya mungkin iman nya masih goyah dan alasan tertntu dgn melepas hijab
Doakn semoga Rina kembali mendapatkn kebaikn lagi 
Karena dia sedang di Uji",-0.5611798493101557
"Kok pada ngributin hidup orang lain, mau pindah agama kek, mau buka hijab kek mau ngapain saja kek itu kan hidup2 mereka kok klian yg kepoh toh makan pun Nggak minta klian orang2 Indonesia semuanya gila isinya cuman ngubek2 hidup orang. Sdh urus hidup klian sendiri yg senin kamis Nggak ada masa depannya.Lol........",0.012860325280648613
"Isi suratnya adalah ....
Rina nose tidak percaya akan adanya Tuhan/Allah",0
"hmmmm sayang nya rina kalau ampe pindah,ibarat do,a pada hafal,saya mrasa islam itu jelas,mknya saya masuk islam 10th yg lalu,masaallah luar biasa,allahuakbar,smoga gak pindah agama ,kalau hijab buka tutup,itu wajar,berhubung rina artis itux di tanyakan",0.014891104698306595
👍👍👍👍,0.975
Azka ganteng,0
"Yes om Deddy, you have built the monster

Monster for the others, but can be protector for his family

You are so cool, Masya Allah",0
dapat suami bule dia jadi pindah agama rinna jadi murtad,0
apa yang di madsud air kejujuran rina,0.9575054935196873
Yg nonton 2019 like,0
Bang sebenar nya apa isi surat rina bang,0.975
Salam dari palangkaraya bang,0
"Gaya mu itu lohhh,wkwkw",0.9669632681220451
Jd bingung apa isi surat rina nose😱😲..,-0.975
"Klo ngedidik anak jjr gwe sama dgn Om Dedi.😠
Dh gk jaman lembut""tan.",-0.9727664610646646
Om kapan punya rambut,0
Isi surat mulai 6.30 .,0
handsome boy. It's like Deddy's father.,0
"Ded, gordennya bagus. Cukur dimana?",0.975
Terus kalo udah tau isi surat rina kenapa? Maksudnya- ngapa lu yang ribet. Bener kata om Deddy manusia punya free will. Lucu banget trending hal pribadi kaya begini cuman gegara spekulasi-spekulasi ga penting netijen maha benar 😂 kalo beneran prihatin sbnrnya doain aja beliau (Rina) dalem hati sesuai agama dan kepercayaan masing-masing. Gila gua hidup di zaman orang hobi nyinyir.,0.7615947313222629
"Jikalau pindah agama, dimana masalahnya? Bukankan indonesia membebaskan setiap individu dalam beragama",0.9575054935196873
Met sore om dedi..,0
"Aaaaaaand setelah om Daddy close lmpu,kenapa kelihatan ganten ea 😂 biasanya Q fokus sm yg dia bahas tp kali ini sy fokus sama kegantengannyah 🤭😅",0.975
Dedy .. aku udah subscribe dan loncengnya nyala. Salam buat Aska ... hello aska??,0
First like .. subscribe for u mas dedy .. love you chanel. 😍😍🤗😎😎😎,0.975
"HOY, HOY, HOY agama itu suka-suka hidup orang mau pilih agama apa netizen gak punya hak untuk mengatur agama orang apalagi dia seorang artis",0.975
Salam dari Aceh Selatan mas Dedi,0
botak ngmngy lama muter2..quota gw abis nih,0
Apa iy RINA PINDAH KEYAKINAN? ATHEIS? KRISTEN?,-0.9669632681220451
"q cuma bisa kasi ini aja

1: botaknya didepan= dia pemikir
2: botaknya di belakang = dia pintar
3: kalo botak smua= dia pikir dia pintar",0.975
"Rina ga percaya Allah, masyaaAlaah...",0
Susah emang ya menjelaskan Isi otak  netizen Jaman sekarang. Ngomong seenak Jidat. Siapa pun Kalian...  Aku kamu Rina nose Dan Semua makhluk Di bumi Ini berhak bahagia dg dirinya Dan hidupnya.  Sooo.. Pliss ya Hargai privacy org. Manusiakan Manusia..,0.975
Intinya di menit ke 06:33,0
Oh,0
slow.. banget wajah Aska lembut bawaan wajahnya 😊😊,0.42493432778761103
Azka ga geli dcium papa nya 😬😬,-0.9727664610646646
Om dedy gundul nduul pacul,0
"*Saya analisis, bahwa Rina sudah SAH pindah agama dan berganti keyakinan, pikiran Rina sedang diguncang sama tekanan dunia hiburan selama jadi artis, bayaran besar sampai terpengaruh harus pindah agama*

*Dedi Korbuser seorang DUDA yang punya anak 1 ternyata beragama KRISTEN pantas Rina mau nya curhat sama dedi korbuser seorang kristen, saya sudah analisis Rina keimanan Islam nya gak kuat di uji sama ALLAH sampai berani melepas hijab.*


*Rina (kristen nasrani) sudah jangan dipedulikan lagi*

*rina nose dipengaruhi ILUMINATI untuk menjadi terkenal dan kaya raya*",0.975
